Employee_ID,Employee_Name,Email,Age,Gender,City,Department,Job_Role,Monthly_Income,Years_At_Company,Job_Satisfaction,Work_Life_Balance,Distance_From_Home,Overtime,Promotion_Last_5_Years,Attrition
101,Amar Naidu,amar.naidu101@company.com,39,Female,Mumbai,IT,Team Lead,63129,2,5,3,3,No,No,No
102,Amar Malhotra,amar.malhotra102@company.com,37,Male,Pune,IT,Developer,143038,17,5,3,26,Yes,Yes,No
103,Neha Pawar,neha.pawar103@company.com,37,Female,Pune,Operations,Manager,59870,20,5,3,16,No,No,No
104,Nitin Bansal,nitin.bansal104@company.com,60,Male,Hyderabad,HR,Developer,60744,17,3,1,37,No,No,Yes
105,Priya Banerjee,priya.banerjee105@company.com,52,Female,Chennai,IT,Developer,147022,14,4,2,28,Yes,Yes,Yes
106,Vamsi Banerjee,vamsi.banerjee106@company.com,60,Male,Mumbai,Marketing,Analyst,89488,7,4,3,9,Yes,No,No
107,Amit Sethi,amit.sethi107@company.com,32,Male,Bangalore,HR,Consultant,92115,24,1,1,8,No,No,Yes
108,Srikanth Banerjee,srikanth.banerjee108@company.com,58,Male,Hyderabad,Operations,Developer,141400,22,4,4,36,No,No,No
109,Anand Babu,anand.babu109@company.com,51,Female,Delhi,IT,Analyst,148363,19,2,1,11,No,No,Yes
110,Akash Talwar,akash.talwar110@company.com,31,Female,Hyderabad,Operations,Developer,178132,13,5,4,32,No,No,No
111,Sangeetha Khanna,sangeetha.khanna111@company.com,60,Female,Hyderabad,HR,Team Lead,140065,22,4,3,16,No,No,No
112,Yamini Arora,yamini.arora112@company.com,58,Male,Hyderabad,IT,Executive,140463,23,5,3,15,Yes,No,No
113,Rajesh Rana,rajesh.rana113@company.com,39,Male,Chennai,HR,Consultant,124428,6,2,3,38,Yes,No,Yes
114,Pradeep Gupta,pradeep.gupta114@company.com,32,Male,Hyderabad,Sales,Analyst,63905,11,4,4,9,Yes,Yes,No
115,Santosh Rao,santosh.rao115@company.com,55,Male,Mumbai,Operations,Executive,176641,18,4,2,37,No,No,Yes
116,Ishita Soni,ishita.soni116@company.com,38,Male,Chennai,Sales,Team Lead,77920,12,4,3,24,Yes,Yes,No
117,Siddharth Mukherjee,siddharth.mukherjee117@company.com,60,Female,Chennai,Marketing,Manager,44460,15,3,5,40,No,No,No
118,Chaitra Jain,chaitra.jain118@company.com,27,Female,Chennai,Operations,Analyst,47704,21,2,5,14,No,No,Yes
119,Srinivas Saxena,srinivas.saxena119@company.com,43,Male,Pune,IT,Developer,115139,11,3,4,18,No,No,No
120,Rakesh Nigam,rakesh.nigam120@company.com,44,Male,Delhi,Sales,Consultant,91148,0,2,2,12,Yes,No,Yes
121,Ashok Bansal,ashok.bansal121@company.com,22,Female,Chennai,HR,Analyst,65650,2,3,5,25,No,No,No
122,Kavya Rana,kavya.rana122@company.com,36,Male,Pune,HR,Manager,110653,11,3,4,18,Yes,No,No
123,Amar Solanki,amar.solanki123@company.com,39,Male,Mumbai,IT,Executive,57534,9,5,1,17,No,No,Yes
124,Aarti Ghosh,aarti.ghosh124@company.com,53,Female,Hyderabad,Marketing,Team Lead,45428,22,4,1,31,No,Yes,Yes
125,Venkat Tiwari,venkat.tiwari125@company.com,57,Male,Delhi,Marketing,Analyst,71675,21,2,2,8,No,No,Yes
126,Sangeetha Banerjee,sangeetha.banerjee126@company.com,34,Female,Chennai,Marketing,Developer,157257,4,3,1,8,No,No,Yes
127,Pradeep Gowda,pradeep.gowda127@company.com,35,Male,Bangalore,HR,Executive,31447,1,2,1,8,Yes,No,Yes
128,Lavanya Reddy,lavanya.reddy128@company.com,24,Male,Chennai,Finance,Consultant,126857,12,4,2,37,Yes,Yes,Yes
129,Harini Bhardwaj,harini.bhardwaj129@company.com,30,Female,Delhi,Finance,Consultant,70043,25,3,5,34,Yes,No,No
130,Vidya Dubey,vidya.dubey130@company.com,60,Female,Chennai,Sales,Consultant,87297,7,3,4,30,Yes,No,No
131,Ganesh Pawar,ganesh.pawar131@company.com,42,Male,Delhi,Sales,Executive,97965,12,5,5,5,No,No,No
132,Vidya Kohli,vidya.kohli132@company.com,36,Female,Bangalore,Sales,Executive,27199,8,2,2,5,Yes,No,Yes
133,Bhavana Kamble,bhavana.kamble133@company.com,57,Female,Bangalore,Marketing,Team Lead,62486,10,2,3,29,No,No,Yes
134,Anand Sharma,anand.sharma134@company.com,22,Male,Pune,Finance,Developer,98593,21,4,4,33,No,No,No
135,Alok Gowda,alok.gowda135@company.com,34,Female,Pune,Operations,Team Lead,119816,13,3,2,18,No,No,Yes
136,Priya Nigam,priya.nigam136@company.com,40,Male,Delhi,IT,Developer,116755,20,2,3,5,Yes,No,Yes
137,Neha Rathore,neha.rathore137@company.com,25,Male,Bangalore,HR,Consultant,40228,13,1,2,29,No,No,Yes
138,Vidya Tomar,vidya.tomar138@company.com,42,Male,Mumbai,HR,Executive,105985,23,4,5,7,Yes,No,No
139,Gautham Tripathi,gautham.tripathi139@company.com,54,Female,Pune,Finance,Manager,49681,19,2,2,36,No,No,Yes
140,Aishwarya Kapoor,aishwarya.kapoor140@company.com,24,Female,Pune,HR,Team Lead,132715,3,4,2,15,Yes,No,Yes
141,Soumya Kumar,soumya.kumar141@company.com,42,Male,Delhi,IT,Developer,104287,22,3,2,16,No,No,Yes
142,Abhishek Dubey,abhishek.dubey142@company.com,49,Female,Pune,Sales,Analyst,73388,8,2,2,33,Yes,No,Yes
143,Aarti Solanki,aarti.solanki143@company.com,27,Female,Chennai,Finance,Consultant,119910,13,2,3,20,No,No,Yes
144,Mamatha Deshmukh,mamatha.deshmukh144@company.com,21,Male,Mumbai,IT,Consultant,63063,12,4,2,4,Yes,No,Yes
145,Divya Tiwari,divya.tiwari145@company.com,55,Female,Hyderabad,Finance,Manager,102079,12,2,5,3,No,No,Yes
146,Lavanya Rao,lavanya.rao146@company.com,36,Male,Delhi,Marketing,Executive,53429,21,1,1,5,Yes,Yes,Yes
147,Chaitra Iyer,chaitra.iyer147@company.com,30,Male,Hyderabad,Operations,Team Lead,30665,7,1,3,16,No,No,Yes
148,Vidya Nigam,vidya.nigam148@company.com,27,Male,Pune,Marketing,Team Lead,116300,8,5,1,29,Yes,Yes,Yes
149,Dinesh Naidu,dinesh.naidu149@company.com,41,Male,Hyderabad,Marketing,Executive,42445,14,5,1,10,No,No,Yes
150,Krithi Malhotra,krithi.malhotra150@company.com,37,Male,Hyderabad,Finance,Manager,76779,6,4,1,17,No,No,Yes
151,Vaishnavi Banerjee,vaishnavi.banerjee151@company.com,28,Female,Delhi,Marketing,Consultant,167284,0,2,3,15,No,No,Yes
152,Nitin Nair,nitin.nair152@company.com,55,Female,Chennai,Marketing,Consultant,42205,20,4,3,7,No,No,No
153,Yash Bansal,yash.bansal153@company.com,49,Female,Delhi,Finance,Manager,98506,6,4,5,31,No,No,No
154,Vikram Rana,vikram.rana154@company.com,33,Male,Chennai,Finance,Developer,99133,22,5,4,7,No,No,No
155,Aishwarya Tomar,aishwarya.tomar155@company.com,30,Male,Delhi,Operations,Team Lead,142467,5,1,3,40,No,No,Yes
156,Ajith Rastogi,ajith.rastogi156@company.com,36,Female,Chennai,Operations,Consultant,136193,20,4,4,17,No,No,No
157,Kavya Banerjee,kavya.banerjee157@company.com,23,Male,Pune,HR,Developer,48079,4,5,2,26,Yes,No,Yes
158,Yamini Mehta,yamini.mehta158@company.com,46,Male,Hyderabad,Marketing,Consultant,31962,4,1,5,37,No,No,Yes
159,Shalini Rastogi,shalini.rastogi159@company.com,46,Female,Hyderabad,IT,Analyst,149575,14,3,5,7,Yes,No,No
160,Srikanth Chatterjee,srikanth.chatterjee160@company.com,22,Male,Bangalore,HR,Developer,41130,17,4,1,2,No,No,Yes
161,Akash Ghosh,akash.ghosh161@company.com,26,Female,Bangalore,Marketing,Analyst,42834,22,5,2,20,No,No,Yes
162,Manoj Thakur,manoj.thakur162@company.com,48,Female,Hyderabad,Operations,Executive,76688,15,4,3,8,No,No,No
163,Sandeep Saxena,sandeep.saxena163@company.com,49,Male,Mumbai,Sales,Executive,153313,19,1,4,33,No,No,Yes
164,Ganesh Chaudhary,ganesh.chaudhary164@company.com,43,Female,Pune,Finance,Consultant,132319,13,2,3,40,Yes,No,Yes
165,Nitin Gupta,nitin.gupta165@company.com,35,Female,Chennai,IT,Analyst,98930,2,5,4,33,No,No,No
166,Chaitanya Patel,chaitanya.patel166@company.com,31,Female,Delhi,Operations,Consultant,152810,14,3,1,40,No,No,Yes
167,Madhavi Rawat,madhavi.rawat167@company.com,27,Female,Mumbai,IT,Manager,120715,22,1,3,23,Yes,No,Yes
168,Ganesh Kulkarni,ganesh.kulkarni168@company.com,57,Male,Bangalore,IT,Executive,138275,6,3,5,32,No,No,No
169,Srinivas Babu,srinivas.babu169@company.com,27,Female,Delhi,Marketing,Developer,42213,21,4,2,16,Yes,No,Yes
170,Teja Kumar,teja.kumar170@company.com,34,Male,Pune,Finance,Analyst,152577,4,4,1,20,No,Yes,Yes
171,Bhavana Rao,bhavana.rao171@company.com,40,Female,Bangalore,Operations,Analyst,76611,22,2,5,2,No,Yes,Yes
172,Deeksha Pillai,deeksha.pillai172@company.com,21,Male,Pune,HR,Manager,54923,15,1,2,6,No,No,Yes
173,Mamatha Chatterjee,mamatha.chatterjee173@company.com,48,Male,Delhi,Marketing,Developer,143468,9,2,5,31,No,No,Yes
174,Shalini Kumar,shalini.kumar174@company.com,54,Female,Delhi,Sales,Analyst,126315,7,5,3,14,No,No,No
175,Disha Soni,disha.soni175@company.com,27,Male,Bangalore,Sales,Developer,168300,22,5,2,6,No,No,Yes
176,Yamini Deshmukh,yamini.deshmukh176@company.com,28,Male,Bangalore,Operations,Manager,73628,19,3,5,37,No,No,No
177,Vikram Vyas,vikram.vyas177@company.com,26,Male,Mumbai,Sales,Consultant,103887,5,4,5,12,No,Yes,No
178,Rajesh Sethi,rajesh.sethi178@company.com,26,Female,Mumbai,Sales,Executive,107695,21,5,2,2,No,No,Yes
179,Akhil Sharma,akhil.sharma179@company.com,31,Male,Bangalore,HR,Executive,133956,23,4,5,33,No,No,No
180,Srikanth Varma,srikanth.varma180@company.com,48,Male,Mumbai,HR,Executive,167661,6,1,4,10,No,No,Yes
181,Ishita Talwar,ishita.talwar181@company.com,58,Female,Bangalore,Marketing,Executive,157512,15,4,3,32,No,No,No
182,Chaitra Soni,chaitra.soni182@company.com,29,Female,Hyderabad,HR,Consultant,134589,25,3,4,7,No,No,No
183,Archana Tiwari,archana.tiwari183@company.com,33,Female,Delhi,Marketing,Developer,29784,10,1,2,24,No,No,Yes
184,Neha Soni,neha.soni184@company.com,45,Female,Pune,Marketing,Team Lead,44604,7,2,4,20,Yes,No,Yes
185,Satish Nigam,satish.nigam185@company.com,37,Male,Chennai,Sales,Manager,110471,8,1,2,7,No,No,Yes
186,Mukesh Kulkarni,mukesh.kulkarni186@company.com,60,Female,Chennai,Sales,Manager,69795,6,3,2,21,Yes,No,Yes
187,Mahesh Kohli,mahesh.kohli187@company.com,54,Male,Hyderabad,Marketing,Developer,57933,10,3,3,10,Yes,Yes,No
188,Rohan Das,rohan.das188@company.com,43,Male,Bangalore,Finance,Analyst,46710,15,4,2,34,Yes,No,Yes
189,Keerthi Tomar,keerthi.tomar189@company.com,27,Male,Bangalore,Operations,Developer,163092,8,2,4,34,Yes,No,Yes
190,Swathi Yadav,swathi.yadav190@company.com,58,Male,Hyderabad,Marketing,Developer,176840,10,3,3,21,No,No,No
191,Srinivas Nair,srinivas.nair191@company.com,28,Male,Mumbai,Finance,Manager,125514,9,3,3,8,No,No,No
192,Krithi Kapoor,krithi.kapoor192@company.com,30,Female,Pune,Operations,Analyst,44334,19,5,4,9,No,No,No
193,Mamatha Chowdary,mamatha.chowdary193@company.com,24,Male,Mumbai,IT,Consultant,45228,5,5,2,31,No,No,Yes
194,Naveen Sharma,naveen.sharma194@company.com,56,Female,Hyderabad,Finance,Manager,170906,6,4,5,7,No,No,No
195,Anjali Das,anjali.das195@company.com,48,Female,Pune,Sales,Consultant,73727,25,1,4,4,No,No,Yes
196,Komal Pillai,komal.pillai196@company.com,24,Male,Hyderabad,Finance,Manager,56100,12,4,2,11,No,No,Yes
197,Hari Jain,hari.jain197@company.com,38,Female,Hyderabad,HR,Consultant,46391,12,5,3,8,No,Yes,No
198,Mahesh Shetty,mahesh.shetty198@company.com,56,Male,Bangalore,Sales,Developer,103730,8,5,3,19,No,No,No
199,Bhavya Bedi,bhavya.bedi199@company.com,42,Female,Mumbai,IT,Manager,144960,24,1,1,10,No,Yes,Yes
200,Chaitanya Gowda,chaitanya.gowda200@company.com,46,Male,Pune,Sales,Manager,125178,5,2,2,14,No,No,Yes
201,Dinesh Chaudhary,dinesh.chaudhary201@company.com,25,Male,Mumbai,Sales,Analyst,143134,20,5,1,28,Yes,No,Yes
202,Neha Varma,neha.varma202@company.com,36,Male,Delhi,Finance,Analyst,95025,18,1,3,7,No,No,Yes
203,Reshma Mukherjee,reshma.mukherjee203@company.com,60,Male,Chennai,Marketing,Analyst,74203,25,2,1,1,No,No,Yes
204,Mukesh Kulkarni,mukesh.kulkarni204@company.com,47,Male,Chennai,Marketing,Developer,89599,14,3,2,15,No,No,Yes
205,Tarun Gupta,tarun.gupta205@company.com,28,Male,Pune,Sales,Manager,172785,9,5,2,2,No,No,Yes
206,Ganesh Saxena,ganesh.saxena206@company.com,29,Female,Hyderabad,Finance,Manager,31067,18,5,1,27,Yes,No,Yes
207,Bhavana Shukla,bhavana.shukla207@company.com,45,Male,Mumbai,HR,Developer,123731,0,3,3,22,No,Yes,No
208,Shiva Chatterjee,shiva.chatterjee208@company.com,28,Male,Chennai,Finance,Analyst,43002,4,1,4,12,No,No,Yes
209,Ajith Kamble,ajith.kamble209@company.com,59,Female,Mumbai,Finance,Manager,139776,24,1,5,13,No,No,Yes
210,Reshma Naidu,reshma.naidu210@company.com,59,Male,Mumbai,IT,Executive,35316,25,2,2,10,Yes,No,Yes
211,Shravya Gowda,shravya.gowda211@company.com,32,Male,Chennai,HR,Executive,156513,12,1,5,38,No,No,Yes
212,Pooja Verma,pooja.verma212@company.com,57,Female,Bangalore,Sales,Developer,73751,20,4,2,3,No,No,Yes
213,Archana Rawat,archana.rawat213@company.com,36,Male,Chennai,HR,Manager,100539,20,4,5,31,No,No,No
214,Pradeep Tripathi,pradeep.tripathi214@company.com,59,Female,Bangalore,Finance,Manager,102321,10,3,5,31,No,No,No
215,Manoj Bedi,manoj.bedi215@company.com,36,Male,Chennai,Finance,Executive,139672,5,2,5,20,No,No,Yes
216,Rahul Soni,rahul.soni216@company.com,47,Female,Delhi,Finance,Analyst,148387,13,4,3,15,No,No,No
217,Naresh Shetty,naresh.shetty217@company.com,52,Male,Hyderabad,IT,Team Lead,62394,19,2,4,37,No,Yes,Yes
218,Amrita Varma,amrita.varma218@company.com,48,Male,Mumbai,Operations,Executive,133273,9,5,1,36,No,Yes,Yes
